,Магазин,Координаты и время,Категория,Бренд,Номер карты,Количество товаров,Цена
0,Citilink,"('59.9992825,30.3597408', '19:16')",Холодильник,Aurora,4274501805689856,93,19495
1,Подружка,"('59.9604693,30.3164542', '20:09')",Помада,Bobbi Brown,5469985770490064,13,900
2,Технопарк,"('59.90775075,30.32520831', '21:03')",Смартфон,Huawei,5213278711985784,47,71500
3,Отдел,"('60.04797585,30.26449915', '13:07')",Пальто,A.P.C.,5469863573559966,15,3799
4,Fab Store,"('59.9302169,30.3246437', '11:30')",Свитер,Coach,4273982797035230,73,2695
5,SMEG,"('59.9547305,30.3265232', '16:24')",Видеокамера,Toyo,5106854656351335,81,15001
6,Подружка,"('59.9604693,30.3164542', '20:09')",Лосьон,Too Faced,5469803770090770,32,1401
7,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Линер,Yves Saint Laurent,4274599028614933,82,599
8,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Основа,NARS,4274466240193522,58,895
9,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Линер,Drunk Elephant,5106528018770353,85,601
10,PiterGSM,"('59.9323949,30.3661284', '11:54')",Плеер и аудиотехника,Core i9,5106569514008259,70,11699
11,М.Видео,"('59.9907784,30.2061089', '15:19')",Пылесос,ECS,5106324165663494,71,3400
12,Code7,"('59.9595411,30.3145212', '11:19')",Куртка,Baukjen,5106276571274190,37,9299
13,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Пудра,Fresh,4279455507049113,42,1100
14,123.ru,"('59.90625125,29.70726325', '17:26')",Стиральная машина,Goodyear,4274711157532719,57,10695
15,Котофото,"('59.9252998,30.3170072', '16:42')",Принтер,ECS,4274317117238018,98,805
16,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Шампунь,Too Faced,5106861059053743,75,200
17,Paper Shop,"('59.7933155,30.3309104', '13:56')",Рубашка,L.K. Bennett,5469376016276428,20,5705
18,Спутник,"('59.9189277,30.346303', '12:43')",Линер,Tarte Cosmetics,5106792573749697,11,1200
19,Котофото,"('59.9252998,30.3170072', '16:42')",Кондиционер,Razer,4274870404710587,41,30600
20,Gate31,"('59.9307242,30.345161', '18:45')",Плавки,Hobbs,5106316046729974,98,1095
21,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шляпа,Hobbs,5106771019202423,98,1501
22,DNS,"('59.8835274,30.370143', '10:22')",Ноутбук,Garmin,5189453901834980,19,140001
23,Familia,"('59.92634555,30.32030116', '11:53')",Свитер,Scotch & Soda,5106302663367842,83,3005
24,Citilink,"('59.9992825,30.3597408', '19:16')",Гарнитура,Sony,4279213097570641,54,200
25,Familia,"('59.92634555,30.32030116', '11:53')",Жилет,Ted Baker,5106203649251888,19,401
26,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тушь,Filorga,5106647329771655,37,1500
27,Paper Shop,"('59.7933155,30.3309104', '13:56')",Перчатки,The North Face,5106927654609194,86,100
28,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Маскара,Tata Harper,4274961840883401,49,1399
29,Технопарк,"('59.90775075,30.32520831', '21:03')",Планшет,Haier,4279333247247382,40,42600
30,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Крем,Embryolisse,5106541649780888,89,299
31,Sephora,"('59.92824665,30.35999192', '16:15')",Шампунь,Bite Beauty,5106374131881473,71,599
32,Citilink mini,"('60.0474289,30.3748429', '10:37')",Фотокамера,Acer,4274346973817180,77,30500
33,М.Видео,"('59.9907784,30.2061089', '15:19')",Телевизор,Apple,5106823178039117,73,50301
34,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Румяна,IT Cosmetics,5106635246408488,99,1500
35,Familia,"('59.92634555,30.32030116', '11:53')",Шорты,Prabal Gurung,5106687860684718,80,1500
36,Citilink mini,"('60.0474289,30.3748429', '10:37')",Видеокамера,OnePlus,5106339031416440,54,32799
37,Familia,"('59.92634555,30.32030116', '11:53')",Блузка,A.L.C.,5106737556361089,87,500
38,Спутник,"('59.9189277,30.346303', '12:43')",Помада,Kate Somerville,5106762270395188,86,1699
39,Технопарк,"('59.90775075,30.32520831', '21:03')",Телевизор,AMD,5106574177230565,71,17100
40,Sephora,"('59.92824665,30.35999192', '16:15')",Помада,Too Faced,5404180965189744,68,795
41,123.ru,"('59.90625125,29.70726325', '17:26')",Телевизор,GIGABYTE,5404144433685344,52,91895
42,Рив Гош,"('59.990724,30.2053798', '19:44')",Блеск,Zoeva,4274464920765396,63,501
43,Gate31,"('59.9307242,30.345161', '18:45')",Юбка,Mavi Jeans,4274991673532185,17,2600
44,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Блеск,Ole Henriksen,4279436317376051,17,1500
45,DNS,"('59.8835274,30.370143', '10:22')",Фотокамера,Honor,4274793886976265,91,2500
46,Эльдорадо,"('59.94584125,30.480875', '16:34')",Ноутбук,Seasonic,5189148025922303,22,48599
47,SMEG,"('59.9547305,30.3265232', '16:24')",Принтер,Grundig,5106701623025174,46,5295
48,Fab Store,"('59.9302169,30.3246437', '11:30')",Жилет,Reebok,5469386782936256,72,801
49,Гум,"('59.9937587,30.1931236', '19:11')",Пальто,Tory Burch,4274281758407512,21,4099
50,Gate31,"('59.9307242,30.345161', '18:45')",Пальто,Monsoon,5106866003280337,63,6905
51,Отдел,"('60.04797585,30.26449915', '13:07')",Куртка,AllSaints,4272575064358835,38,1000
52,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Блеск,BareMinerals,4274471387716051,60,1001
53,Спортмастер,"('59.9128513,30.446262', '20:56')",Юбка,Mint Velvet,5469910710937597,61,1399
54,Citilink mini,"('60.0474289,30.3748429', '10:37')",Фотокамера,Kumho,5106974780109436,98,38100
55,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Парфюм,Sugarpill,5106720924789161,42,1300
56,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тушь,Shiseido,4279216067141183,99,95
57,Спутник,"('59.9189277,30.346303', '12:43')",Линер,L'Oreal Paris,4279844539236627,80,205
58,Котофото,"('59.9252998,30.3170072', '16:42')",Кондиционер,Indesit,5469985742121371,91,3005
59,Подружка,"('59.9604693,30.3164542', '20:09')",Парфюм,Peter Thomas Roth,4274842687797790,91,3900
60,М.Видео,"('59.9907784,30.2061089', '15:19')",Плеер и аудиотехника,ECS,4274667231039400,83,500
61,Fab Store,"('59.9302169,30.3246437', '11:30')",Свитер,ASOS,5106314660055740,99,4600
62,Citilink mini,"('60.0474289,30.3748429', '10:37')",Смартфон,Akuret,5404834099952890,65,41901
63,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Основа,Estée Lauder,5106690715565122,83,3999
64,Sephora,"('59.92824665,30.35999192', '16:15')",Маскара,Kiko Milano,5404539863260343,26,2200
65,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Основа,Mario Badescu,5106783562629903,41,201
66,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Консилер,Bite Beauty,5404656923456292,45,900
67,SMEG,"('59.9547305,30.3265232', '16:24')",Принтер,HyperX,4274812312771786,78,34305
68,Подружка,"('59.9604693,30.3164542', '20:09')",Лосьон,Lime Crime,5106230741424355,73,101
69,Paper Shop,"('59.7933155,30.3309104', '13:56')",Костюм,Hudson Jeans,5106666898498383,95,4200
70,М.Видео,"('59.9907784,30.2061089', '15:19')",Принтер,Bosch,4272566446710280,53,17000
71,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Лосьон,L'Oreal Paris,5106160742201919,77,200
72,Citilink,"('59.9992825,30.3597408', '19:16')",Фотокамера,Creative,5106492870193157,26,42100
73,Гум,"('59.9937587,30.1931236', '19:11')",Шарф,Jigsaw,5106196656772679,45,2000
74,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Румяна,Pat McGrath Labs,4274930024479282,55,2299
75,Технопарк,"('59.90775075,30.32520831', '21:03')",Планшет,Ceat,4274406287860744,61,47805
76,Familia,"('59.92634555,30.32030116', '11:53')",Жилет,John Lewis & Partners,5404847389029169,38,1301
77,Sephora,"('59.92824665,30.35999192', '16:15')",Линер,Drunk Elephant,5106978818692231,56,695
78,Котофото,"('59.9252998,30.3170072', '16:42')",Планшет,Grundig,5404557145117790,17,37101
79,Технопарк,"('59.90775075,30.32520831', '21:03')",Холодильник,AMD,5106559750027367,62,42200
80,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Блеск,Dr. Jart+,5106349498190234,13,2095
81,Спутник,"('59.9189277,30.346303', '12:43')",Тушь,Stila,4274638908875878,96,705
82,SMEG,"('59.9547305,30.3265232', '16:24')",Смартфон,Garmin,5469317729468942,5,61205
83,Технопарк,"('59.90775075,30.32520831', '21:03')",Монитор,Falken,4272355845737119,97,18700
84,Эльдорадо,"('59.94584125,30.480875', '16:34')",Смартфон,Frigidaire,5106196519112356,66,84101
85,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Пудра,Cinema Secrets,4279779943563256,41,1300
86,DNS,"('59.8835274,30.370143', '10:22')",Телевизор,Biostar,5106360290311184,42,49095
87,Гум,"('59.9937587,30.1931236', '19:11')",Платье,Ghost,4272219348520882,99,3905
88,PiterGSM,"('59.9323949,30.3661284', '11:54')",Микроволновая печь,Aurora,4274280310281430,67,1400
89,Subbota,"('59.9538908,30.296822', '14:00')",Бикини,Monsoon,4279725713097648,6,895
90,Citilink,"('59.9992825,30.3597408', '19:16')",Фотокамера,Mickey Thompson,5106572418499513,47,23205
91,SMEG,"('59.9547305,30.3265232', '16:24')",Холодильник,ECS,5106528944889969,82,139299
92,Citilink,"('59.9992825,30.3597408', '19:16')",Фотокамера,Fitbit,5106580582460633,14,3999
93,Спутник,"('59.9189277,30.346303', '12:43')",Румяна,Algenist,5106755881842007,86,1000
94,PiterGSM,"('59.9323949,30.3661284', '11:54')",Планшет,Corsair,4274960095840753,42,20900
95,Code7,"('59.9595411,30.3145212', '11:19')",Платье,Dolce & Gabbana,4274785266120293,41,6599
96,Гум,"('59.9937587,30.1931236', '19:11')",Шапка,Joseph,5404261249105672,78,901
97,PiterGSM,"('59.9323949,30.3661284', '11:54')",Фотокамера,MSI,5106201488997334,27,25199
98,Технопарк,"('59.90775075,30.32520831', '21:03')",Микроволновая печь,Novex,5106124463789369,87,6599
99,Отдел,"('60.04797585,30.26449915', '13:07')",Футболка,Joe's Jeans,4274710389788434,26,5405
100,Спутник,"('59.9189277,30.346303', '12:43')",Парфюм,Sunday Riley,4276325547969857,41,19301
101,Familia,"('59.92634555,30.32030116', '11:53')",Юбка,Proenza Schouler,5106678843347663,73,4905
102,Citilink,"('59.9992825,30.3597408', '19:16')",Монитор,Toyo,5106653881089252,32,17400
103,Citilink mini,"('60.0474289,30.3748429', '10:37')",Планшет,Garmin,4279459141559546,60,39595
104,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Тональник,Benefit Cosmetics,5106291300991765,17,599
105,Отдел,"('60.04797585,30.26449915', '13:07')",Свитер,See by Chloe,4274174717938272,94,1699
106,Citilink mini,"('60.0474289,30.3748429', '10:37')",Кондиционер,Fitbit,4274182970834672,15,69505
107,Stokmann,"('59.9325138,30.3597223', '17:57')",Пальто,Miu Miu,5469840088315880,11,5200
108,SMEG,"('59.9547305,30.3265232', '16:24')",Монитор,Miele,4273466062317636,12,8800
109,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Гель,Eucerin,5469541667741854,34,1199
110,SMEG,"('59.9547305,30.3265232', '16:24')",Пылесос,Nokian,5106437318918526,78,5495
111,Гум,"('59.9937587,30.1931236', '19:11')",Футболка,Isabel Marant,5106959466462628,26,1800
112,Рив Гош,"('59.990724,30.2053798', '19:44')",Тональник,Tarte Cosmetics,5106257305602892,46,2800
113,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Блеск,Becca Cosmetics,5469809330450342,96,501
114,Гум,"('59.9937587,30.1931236', '19:11')",Шапка,10 Crosby Derek Lam,5106919972210672,76,1200
115,Subbota,"('59.9538908,30.296822', '14:00')",Костюм,Lululemon,5106454755257545,84,12300
116,Котофото,"('59.9252998,30.3170072', '16:42')",Видеокамера,Federal,5106328828352589,77,26300
117,Эльдорадо,"('59.94584125,30.480875', '16:34')",Смартфон,HTC,5106709839318066,46,111005
118,Subbota,"('59.9538908,30.296822', '14:00')",Плавки,Claudie Pierlot,4279620597018455,15,2501
119,Котофото,"('59.9252998,30.3170072', '16:42')",Холодильник,Core i7,5106250034879874,91,79395
120,Котофото,"('59.9252998,30.3170072', '16:42')",Кондиционер,Google,4279288635321630,79,25699
121,Sephora,"('59.92824665,30.35999192', '16:15')",Помада,NARS,4272915000808865,54,800
122,Citilink,"('59.9992825,30.3597408', '19:16')",Смартфон,MSI,5106175731169361,92,65899
123,PiterGSM,"('59.9323949,30.3661284', '11:54')",Холодильник,Blacklion,5106239737887137,41,3001
124,М.Видео,"('59.9907784,30.2061089', '15:19')",Плеер и аудиотехника,Pioneer,5106801110536188,90,4700
125,Гум,"('59.9937587,30.1931236', '19:11')",Шляпа,Paige,5106365169673090,34,695
126,Гум,"('59.9937587,30.1931236', '19:11')",Свитер,Erdem,4274210333316749,27,500
127,Котофото,"('59.9252998,30.3170072', '16:42')",Гарнитура,Crucial,4279318535586860,70,1395
128,Familia,"('59.92634555,30.32030116', '11:53')",Шапка,Mango,4279255289602364,83,401
129,Спутник,"('59.9189277,30.346303', '12:43')",Консилер,RoC,4274826440887243,58,605
130,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Маскара,Anastasia Beverly Hills,4279706618636182,67,299
131,Спутник,"('59.9189277,30.346303', '12:43')",Тональник,Urban Decay,4279936888626651,32,205
132,Subbota,"('59.9538908,30.296822', '14:00')",Рубашка,Kenzo,4274508395079131,61,2199
133,Спортмастер,"('59.9128513,30.446262', '20:56')",Бикини,Jaeger,5213378472680542,51,1795
134,Подружка,"('59.9604693,30.3164542', '20:09')",Линер,Too Faced,5106592791655294,9,301
135,Спортмастер,"('59.9128513,30.446262', '20:56')",Юбка,Whistles,5469522710513341,73,5005
136,Sephora,"('59.92824665,30.35999192', '16:15')",Лосьон,Anastasia Beverly Hills,4274300271081249,69,499
137,Котофото,"('59.9252998,30.3170072', '16:42')",Смартфон,Fitbit,4274304336858790,61,73699
138,Subbota,"('59.9538908,30.296822', '14:00')",Ветровка,Alice + Olivia,5469554763848732,74,7905
139,Citilink mini,"('60.0474289,30.3748429', '10:37')",Кондиционер,Inno3D,4274565067711854,8,13000
140,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Пудра,Marc Jacobs Beauty,4279227989984889,52,5
141,Fab Store,"('59.9302169,30.3246437', '11:30')",Шапка,Bottega Veneta,5106438531631010,74,2605
142,Stokmann,"('59.9325138,30.3597223', '17:57')",Джинсы,Jigsaw,5469926884635980,29,4000
143,Familia,"('59.92634555,30.32030116', '11:53')",Бикини,Bottega Veneta,4279738226329745,34,1395
144,DNS,"('59.8835274,30.370143', '10:22')",Планшет,Gigabyte,4273578083524751,25,26100
145,Gate31,"('59.9307242,30.345161', '18:45')",Жилет,Max Mara,5106452029573588,49,3700
146,Citilink,"('59.9992825,30.3597408', '19:16')",Видеокамера,Meizu,5404651207811829,56,16399
147,123.ru,"('59.90625125,29.70726325', '17:26')",Ноутбук,Cooper,5106222881863785,69,27899
148,Gate31,"('59.9307242,30.345161', '18:45')",Шорты,Boden,4279333761657678,54,1405
149,Familia,"('59.92634555,30.32030116', '11:53')",Футболка,Mint Velvet,5106959897519547,38,405
150,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Помада,bareMinerals,4279654219685762,96,600
151,Gate31,"('59.9307242,30.345161', '18:45')",Платье,Current/Elliott,4279364857706889,23,1600
152,SMEG,"('59.9547305,30.3265232', '16:24')",Плеер и аудиотехника,AOC,5106414985597893,64,3899
153,Citilink,"('59.9992825,30.3597408', '19:16')",Кондиционер,Toyo,5106787064398909,19,5405
154,Технопарк,"('59.90775075,30.32520831', '21:03')",Кондиционер,Hankook,5106951400542174,48,20795
155,Subbota,"('59.9538908,30.296822', '14:00')",Юбка,Gap,4272956664687477,96,899
156,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Шампунь,Vichy,4272878683272798,88,1005
157,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Парфюм,Drunk Elephant,4279238810484036,16,16300
158,М.Видео,"('59.9907784,30.2061089', '15:19')",Микроволновая печь,Aurora,5469612856697558,19,11100
159,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тушь,The Ordinary,5106921679347439,82,695
